OverallQual|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
1|logSalePrice|4|2|21.6|10.8|10.8|10.8||2|50.0|0.1|0.31|0|0.0|0|0.0|2|50.0|2|50.0|2|10.58|11.02|0.44|10.69|10.91|0.22|-0.0|-2.0
2|logSalePrice|13|3|32.48|10.83|10.82|11.0||10|76.92|0.09|0.31|0|0.0|0|0.0|3|23.08|10|76.92|2|10.47|11.0|0.53|10.74|11.0|0.27|-0.71|-1.5
3|logSalePrice|40|20|226.75|11.34|11.33|11.36||20|50.0|0.09|0.31|0|0.0|0|0.0|20|50.0|20|50.0|20|10.54|11.85|1.3|11.23|11.49|0.26|-0.74|0.69
4|logSalePrice|225|115|1330.17|11.57|11.56|11.59||110|48.89|0.07|0.26|0|0.0|0|0.0|115|51.11|110|48.89|84|10.6|12.45|1.86|11.39|11.74|0.35|-0.47|1.9
5|logSalePrice|824|396|4664.77|11.78|11.78|11.8||428|51.94|0.04|0.21|0|0.0|0|0.0|396|48.06|428|51.94|210|10.93|12.34|1.41|11.68|11.9|0.22|-0.62|1.56
6|logSalePrice|729|372|4451.39|11.97|11.96|11.98||357|48.97|0.05|0.23|0|0.0|0|0.0|372|51.03|357|48.97|223|11.24|12.53|1.29|11.84|12.11|0.26|-0.42|0.44
7|logSalePrice|586|305|3721.23|12.2|12.2|12.2||281|47.95|0.04|0.19|0|0.0|0|0.0|305|52.05|281|47.95|210|11.32|12.59|1.27|12.09|12.33|0.24|-0.49|0.92
8|logSalePrice|294|120|1486.8|12.39|12.39|12.43||174|59.18|0.03|0.17|0|0.0|0|0.0|120|40.82|174|59.18|96|11.71|12.61|0.9|12.33|12.52|0.19|-1.28|1.76
9|logSalePrice|69|5|62.45|12.49|12.49|12.49||64|92.75|0.0|0.07|0|0.0|0|0.0|5|7.25|64|92.75|5|12.38|12.56|0.18|12.48|12.53|0.05|-0.73|-0.62
10|logSalePrice|14|1|12.13|12.13|12.13|12.13||13|92.86|||0|0.0|0|0.0|1|7.14|13|92.86|1|12.13|12.13|0.0|12.13|12.13|0.0|0.0|-3.0
