Predictor|Coefficient|Std Error|Test Stat|P-Value
YearBuilt|0.006|0.0|1429.423|0.0
YearRemodAdd|0.006|0.0|1363.245|0.0
GarageYrBlt|0.006|0.0|1258.091|0.0
Utilities_ord|2.99|0.003|1173.58|0.0
YrSold|0.006|0.0|1172.158|0.0
Street_Pave_bin|11.96|0.026|451.428|0.0
GarageQual_ord|3.997|0.01|388.027|0.0
GarageCond_ord|4.002|0.011|379.998|0.0
BsmtCond_ord|3.951|0.011|363.388|0.0
Condition2_Norm_bin|11.962|0.038|317.861|0.0
ExterCond_ord|3.841|0.013|286.962|0.0
RoofMatl_CompShg_bin|11.955|0.047|253.938|0.0
ExterQual_ord|3.52|0.015|239.92|0.0
Heating_GasA_bin|11.966|0.055|218.239|0.0
KitchenQual_ord|3.392|0.017|203.485|0.0
BsmtQual_ord|3.331|0.017|201.354|0.0
LotShape_ord|3.231|0.017|191.552|0.0
PavedDrive_ord|4.078|0.022|188.876|0.0
OverallQual|1.952|0.011|179.554|0.0
MiscFeature_None_bin|11.962|0.069|172.306|0.0
OverallCond|2.061|0.013|163.594|0.0
HeatingQC_ord|2.768|0.019|145.624|0.0
TotRmsAbvGrd|1.783|0.012|144.05|0.0
KitchenAbvGr|10.766|0.077|140.031|0.0
TotalSF|0.005|0.0|129.626|0.0
LandSlope_ord|10.63|0.083|128.517|0.0
CentralAir_Y_bin|11.991|0.096|124.336|0.0
BedroomAbvGr|3.886|0.033|117.616|0.0
LotFrontage|0.163|0.001|115.601|0.0
Functional_Typ_bin|11.969|0.104|115.101|0.0
GrLivArea|0.008|0.0|113.315|0.0
1stFlrSF|0.01|0.0|112.237|0.0
Electrical_SBrkr_bin|11.988|0.109|110.006|0.0
FullBath|7.002|0.07|100.093|0.0
LandContour_Lvl_bin|11.958|0.122|98.219|0.0
SaleType_WD_bin|11.948|0.129|92.754|0.0
TotalBsmtSF|0.011|0.0|90.531|0.0
BsmtFinType2_Unf_bin|11.958|0.134|89.241|0.0
GarageCars|6.079|0.074|82.647|0.0
Condition1_Norm_bin|11.975|0.146|81.927|0.0
GarageArea|0.023|0.0|79.002|0.0
MoSold|1.608|0.021|77.313|0.0
SaleCondition_Normal_bin|11.962|0.16|74.741|0.0
GarageFinish_ord|5.818|0.079|74.041|0.0
RoofStyle_Gable_bin|11.948|0.176|67.809|0.0
Fence_None_bin|11.986|0.182|65.684|0.0
MSZoning_RL_bin|12.016|0.194|62.082|0.0
BsmtExposure_ord|5.496|0.102|53.683|0.0
LotConfig_Inside_bin|11.933|0.225|52.938|0.0
GarageType_Attchd_bin|12.038|0.267|45.086|0.0
MSSubClass|0.13|0.003|44.082|0.0
BsmtUnfSF|0.014|0.0|42.836|0.0
MasVnrType_None_bin|11.876|0.287|41.395|0.0
LotArea|0.001|0.0|39.058|0.0
BsmtFinSF1|0.015|0.0|33.769|0.0
HouseStyle_1Story_bin|11.938|0.375|31.825|0.0
FireplaceQu_ord|3.431|0.11|31.232|0.0
Foundation_CBlock_bin|11.854|0.395|30.034|0.0
Fireplaces|9.671|0.325|29.715|0.0
Foundation_PConc_bin|12.153|0.436|27.897|0.0
2ndFlrSF|0.014|0.001|26.614|0.0
BsmtFullBath|11.593|0.454|25.543|0.0
HalfBath|11.561|0.472|24.493|0.0
Exterior1st_VinylSd_bin|12.111|0.511|23.714|0.0
WoodDeckSF|0.049|0.002|23.604|0.0
Exterior2nd_VinylSd_bin|12.113|0.518|23.366|0.0
BsmtFinType1_Unf_bin|11.882|0.514|23.135|0.0
OpenPorchSF|0.092|0.004|22.978|0.0
MasVnrType_BrkFace_bin|12.064|0.562|21.464|0.0
HouseStyle_2Story_bin|12.081|0.566|21.363|0.0
GarageType_Detchd_bin|11.751|0.59|19.906|0.0
BsmtFinType1_GLQ_bin|12.161|0.634|19.171|0.0
MasVnrArea|0.033|0.002|18.192|0.0
Exterior1st_HdBoard_bin|11.94|0.822|14.52|0.0
RoofStyle_Hip_bin|12.005|0.833|14.417|0.0
MSZoning_RM_bin|11.68|0.831|14.049|0.0
Neighborhood_NAmes_bin|11.861|0.849|13.966|0.0
Exterior2nd_HdBoard_bin|11.954|0.863|13.846|0.0
Exterior1st_MetalSd_bin|11.809|0.856|13.796|0.0
Exterior2nd_MetalSd_bin|11.813|0.871|13.555|0.0
Exterior1st_Wd Sdng_bin|11.808|0.891|13.253|0.0
Exterior2nd_Wd Sdng_bin|11.808|0.93|12.7|0.0
Fence_MnPrv_bin|11.822|1.008|11.732|0.0
EnclosedPorch|0.063|0.005|11.695|0.0
Neighborhood_CollgCr_bin|12.142|1.042|11.648|0.0
Exterior2nd_Plywood_bin|11.994|1.059|11.322|0.0
BsmtFinType1_BLQ_bin|11.874|1.066|11.14|0.0
BsmtFinType1_Rec_bin|11.867|1.128|10.519|0.0
BldgType_TwnhsE_bin|12.012|1.179|10.192|0.0
BsmtFinSF2|0.021|0.002|9.703|0.0
Exterior1st_Plywood_bin|12.029|1.253|9.6|0.0
Neighborhood_OldTown_bin|11.674|1.225|9.53|0.0
MasVnrType_Stone_bin|12.254|1.33|9.211|0.0
LotConfig_CulDSac_bin|12.184|1.371|8.888|0.0
Neighborhood_Edwards_bin|11.711|1.335|8.773|0.0
ScreenPorch|0.056|0.006|8.747|0.0
SaleCondition_Partial_bin|12.234|1.425|8.585|0.0
SaleType_New_bin|12.247|1.461|8.384|0.0
Neighborhood_Gilbert_bin|12.142|1.462|8.308|0.0
Alley_ord|7.163|0.862|8.307|0.0
Neighborhood_NWAmes_bin|12.124|1.474|8.224|0.0
Neighborhood_Somerst_bin|12.22|1.499|8.15|0.0
Condition1_Feedr_bin|11.81|1.489|7.93|0.0
BsmtHalfBath|11.612|1.466|7.923|0.0
Neighborhood_Sawyer_bin|11.809|1.544|7.65|0.0
HouseStyle_SLvl_bin|11.997|1.587|7.559|0.0
BsmtFinType1_LwQ_bin|11.869|1.573|7.548|0.0
GarageType_BuiltIn_bin|12.195|1.634|7.463|0.0
Neighborhood_SawyerW_bin|12.072|1.67|7.231|0.0
MSZoning_FV_bin|12.183|1.706|7.143|0.0
BldgType_Duplex_bin|11.781|1.748|6.742|0.0
Exterior1st_CemntBd_bin|11.959|1.81|6.606|0.0
Neighborhood_BrkSide_bin|11.679|1.769|6.603|0.0
Neighborhood_Mitchel_bin|11.942|1.81|6.596|0.0
LandSlope_Mod_bin|12.009|1.833|6.552|0.0
Exterior2nd_CmentBd_bin|11.957|1.833|6.523|0.0
Fence_GdWo_bin|11.781|1.834|6.423|0.0
LotConfig_FR2_bin|11.977|1.881|6.367|0.0
Neighborhood_Crawfor_bin|12.13|1.932|6.277|0.0
BsmtFinType2_Rec_bin|11.923|1.907|6.252|0.0
HouseStyle_SFoyer_bin|11.784|1.962|6.006|0.0
BldgType_Twnhs_bin|11.77|1.962|5.998|0.0
Exterior1st_BrkFace_bin|12.033|2.019|5.959|0.0
MiscFeature_Shed_bin|11.856|1.99|5.957|0.0
Neighborhood_NridgHt_bin|12.338|2.082|5.926|0.0
LandContour_HLS_bin|12.091|2.05|5.897|0.0
BsmtFinType2_LwQ_bin|11.976|2.051|5.839|0.0
BsmtFinType2_BLQ_bin|11.881|2.155|5.514|0.0
Functional_Min2_bin|11.822|2.155|5.486|0.0
Neighborhood_IDOTRR_bin|11.471|2.121|5.408|0.0
LandContour_Low_bin|12.064|2.232|5.406|0.0
Functional_Min1_bin|11.865|2.233|5.314|0.0
Neighborhood_Timber_bin|12.261|2.414|5.079|0.0
BldgType_2fmCon_bin|11.717|2.367|4.95|0.0
Exterior2nd_Wd Shng_bin|11.838|2.416|4.899|0.0
Neighborhood_ClearCr_bin|12.235|2.524|4.847|0.0
MiscVal|0.01|0.002|4.818|0.0
Electrical_FuseF_bin|11.561|2.588|4.467|0.0
Condition1_RRAn_bin|12.012|2.88|4.172|0.0
Exterior2nd_BrkFace_bin|11.955|2.88|4.151|0.0
SaleCondition_Family_bin|11.907|2.88|4.134|0.0
Exterior2nd_Stucco_bin|11.871|2.88|4.122|0.0
Exterior1st_WdShing_bin|11.784|2.88|4.091|0.0
3SsnPorch|0.048|0.012|4.052|0.0001
Neighborhood_MeadowV_bin|11.475|2.882|3.982|0.0001
Condition1_PosN_bin|12.157|3.068|3.963|0.0001
Foundation_Slab_bin|11.577|2.971|3.896|0.0001
Neighborhood_SWISU_bin|11.838|3.069|3.857|0.0001
GarageType_Basment_bin|11.833|3.069|3.855|0.0001
Neighborhood_NoRidge_bin|12.476|3.298|3.783|0.0002
Neighborhood_StoneBr_bin|12.326|3.298|3.737|0.0002
LowQualFinSF|0.03|0.008|3.682|0.0002
Exterior1st_Stucco_bin|11.87|3.3|3.597|0.0003
Heating_GasW_bin|11.852|3.3|3.592|0.0003
Neighborhood_BrDale_bin|11.534|3.301|3.494|0.0005
BsmtFinType2_GLQ_bin|12.099|3.59|3.37|0.0008
HouseStyle_1.5Unf_bin|11.647|3.591|3.243|0.0012
LandSlope_Sev_bin|12.123|3.767|3.218|0.0013
Functional_Mod_bin|11.873|3.767|3.151|0.0016
Condition1_RRAe_bin|11.807|3.768|3.134|0.0017
MSZoning_RH_bin|11.734|3.768|3.114|0.0018
Neighborhood_Veenker_bin|12.248|3.972|3.084|0.002
SaleCondition_Alloca_bin|11.854|3.973|2.983|0.0028
Fence_MnWw_bin|11.819|3.973|2.975|0.0029
SaleType_ConLD_bin|11.773|3.973|2.963|0.003
RoofStyle_Gambrel_bin|11.73|3.974|2.952|0.0032
HouseStyle_2.5Unf_bin|11.812|4.216|2.801|0.0051
RoofMatl_Tar&Grv_bin|12.078|4.509|2.679|0.0074
RoofStyle_Mansard_bin|12.057|4.509|2.674|0.0075
Exterior2nd_ImStucc_bin|11.923|4.509|2.644|0.0082
Neighborhood_NPkVill_bin|11.876|4.509|2.634|0.0084
Condition1_PosA_bin|12.222|4.872|2.509|0.0121
Foundation_Stone_bin|11.933|4.873|2.449|0.0143
GarageType_CarPort_bin|11.585|4.873|2.377|0.0174
HouseStyle_2.5Fin_bin|12.036|5.34|2.254|0.0242
Exterior2nd_Brk Cmn_bin|11.793|5.341|2.208|0.0272
Condition2_Feedr_bin|11.599|5.341|2.172|0.0299
Heating_Grav_bin|11.258|5.342|2.108|0.0351
RoofMatl_WdShake_bin|12.339|5.973|2.066|0.0388
Exterior2nd_Stone_bin|12.021|5.973|2.013|0.0442
SaleType_ConLw_bin|11.962|5.973|2.003|0.0452
SaleType_ConLI_bin|11.801|5.974|1.975|0.0482
Functional_Maj2_bin|11.233|5.975|1.88|0.0601
PoolArea|0.019|0.011|1.773|0.0762
Condition1_RRNn_bin|12.204|6.9|1.769|0.077
LotConfig_FR3_bin|12.041|6.9|1.745|0.081
PoolQC_ord|4.132|2.44|1.694|0.0904
SaleCondition_AdjLand_bin|11.458|6.901|1.66|0.0969
Electrical_FuseP_bin|11.447|6.901|1.659|0.0972
Heating_Wall_bin|11.437|6.901|1.657|0.0975
RoofMatl_WdShngl_bin|12.539|8.455|1.483|0.1381
Foundation_Wood_bin|12.218|8.455|1.445|0.1484
Condition1_RRNe_bin|12.159|8.455|1.438|0.1504
Exterior2nd_AsphShn_bin|11.793|8.456|1.395|0.1631
Heating_OthW_bin|11.742|8.456|1.389|0.165
SaleType_Oth_bin|11.554|8.456|1.366|0.1718
Condition2_RRNn_bin|11.435|8.456|1.352|0.1763
Exterior1st_ImStucc_bin|12.476|11.963|1.043|0.297
RoofStyle_Shed_bin|12.468|11.963|1.042|0.2973
MiscFeature_TenC_bin|12.429|11.963|1.039|0.2988
RoofMatl_Membran_bin|12.395|11.963|1.036|0.3002
Exterior1st_Stone_bin|12.346|11.963|1.032|0.3021
Condition2_PosN_bin|12.127|11.963|1.014|0.3107
RoofMatl_Metal_bin|12.101|11.963|1.011|0.3118
SaleType_CWD_bin|11.97|11.963|1.001|0.317
Condition2_RRAn_bin|11.827|11.964|0.989|0.3229
RoofMatl_Roll_bin|11.828|11.964|0.989|0.3228
MiscFeature_Othr_bin|11.798|11.964|0.986|0.324
Neighborhood_Blueste_bin|11.728|11.964|0.98|0.3269
Exterior2nd_CBlock_bin|11.562|11.964|0.966|0.3338
Exterior1st_CBlock_bin|11.562|11.964|0.966|0.3338
Exterior1st_AsphShn_bin|11.513|11.964|0.962|0.3359
Exterior1st_BrkComm_bin|11.314|11.964|0.946|0.3443
Electrical_Mix_bin|11.112|11.964|0.929|0.353
Condition2_PosA_bin|0.0|0.0||
Condition2_RRAe_bin|0.0|0.0||
Exterior2nd_Other_bin|0.0|0.0||
Functional_Sev_bin|0.0|0.0||
SaleType_Con_bin|0.0|0.0||
